date,ym,singapore_zaobao_body_count,singapore_zaobao_epu_count,singapore_zaobao_ratio,singapore_today_body_count,singapore_today_epu_count,singapore_today_ratio,singapore_the_independent_body_count,singapore_the_independent_epu_count,singapore_the_independent_ratio,singapore_the_straits_times_body_count,singapore_the_straits_times_epu_count,singapore_the_straits_times_ratio,news_total,singapore_zaobao_weights,singapore_today_weights,singapore_the_independent_weights,singapore_the_straits_times_weights,singapore_zaobao_z_score,singapore_today_z_score,singapore_the_independent_z_score,singapore_the_straits_times_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2022-10-01,2022-10,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,,,,,,0,,,
2022-11-01,2022-11,0.0,0.0,0.0,0.0,0.0,0.0,10,1.0,0.1,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,,,,,,0,,,
2022-12-01,2022-12,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,,,,,,0,,,
2023-01-01,2023-1,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.3333333333333333,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,,,,,,0,,,
2023-02-01,2023-2,0.0,0.0,0.0,0.0,0.0,0.0,10,3.0,0.3,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,,,,,,0,,,
2023-03-01,2023-3,0.0,0.0,0.0,0.0,0.0,0.0,17,1.0,0.058823529411764705,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,,,,,,0,,,
2023-04-01,2023-4,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,,,,,,0,,,
2023-05-01,2023-5,0.0,0.0,0.0,0.0,0.0,0.0,20,2.0,0.1,0.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,,,,,,0,,,
2023-06-01,2023-6,0.0,0.0,0.0,0.0,0.0,0.0,14,1.0,0.07142857142857142,0.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,,,,,,0,,,
2023-07-01,2023-7,0.0,0.0,0.0,0.0,0.0,0.0,23,4.0,0.17391304347826086,0.0,0.0,0.0,23.0,0.0,0.0,1.0,0.0,,,,,,0,,,
2023-08-01,2023-8,0.0,0.0,0.0,0.0,0.0,0.0,33,2.0,0.06060606060606061,0.0,0.0,0.0,33.0,0.0,0.0,1.0,0.0,,,,,,0,,,
2023-09-01,2023-9,0.0,0.0,0.0,0.0,0.0,0.0,65,2.0,0.03076923076923077,0.0,0.0,0.0,65.0,0.0,0.0,1.0,0.0,,,,,,0,,,
2023-10-01,2023-10,0.0,0.0,0.0,0.0,0.0,0.0,22,1.0,0.045454545454545456,0.0,0.0,0.0,22.0,0.0,0.0,1.0,0.0,,,,,,0,,,
2023-11-01,2023-11,0.0,0.0,0.0,0.0,0.0,0.0,21,1.0,0.047619047619047616,0.0,0.0,0.0,21.0,0.0,0.0,1.0,0.0,,,,,,0,,,
2023-12-01,2023-12,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,,,,,,0,,,
2024-01-01,2024-1,0.0,0.0,0.0,0.0,0.0,0.0,43,10.0,0.23255813953488372,0.0,0.0,0.0,43.0,0.0,0.0,1.0,0.0,,,,,,0,,,
2024-02-01,2024-2,0.0,0.0,0.0,0.0,0.0,0.0,54,2.0,0.037037037037037035,0.0,0.0,0.0,54.0,0.0,0.0,1.0,0.0,,,,,,0,,,
2024-03-01,2024-3,0.0,0.0,0.0,0.0,0.0,0.0,48,2.0,0.041666666666666664,0.0,0.0,0.0,48.0,0.0,0.0,1.0,0.0,,,,,,0,,,
2024-04-01,2024-4,0.0,0.0,0.0,61.0,3.0,0.04918032786885246,42,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.5922330097087378,0.4077669902912621,0.0,,,,,,0,,,
2024-05-01,2024-5,0.0,0.0,0.0,159.0,4.0,0.025157232704402517,64,5.0,0.078125,0.0,0.0,0.0,223.0,0.0,0.7130044843049327,0.28699551569506726,0.0,,,,,,0,,,
2024-06-01,2024-6,0.0,0.0,0.0,103.0,4.0,0.038834951456310676,60,3.0,0.05,0.0,0.0,0.0,163.0,0.0,0.6319018404907976,0.36809815950920244,0.0,,,,,,0,,,
